,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
47,threshold_strategy,gtest_frequency3,[125],"[40, 82, 125]",0.0,,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
48,time_series_strategy,cpd_frequency_delta1,"[29, 38, 55, 83, 126]","[39, 84, 126]",0.67,7.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,2000,Fixed,True,500,3,8
49,time_series_strategy,cpd_frequency_delta3,"[31, 39, 84, 126]","[39, 84, 126]",0.8,2.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,2000,Fixed,True,500,3,8
50,time_series_strategy,cpd_prob_freq_delta1,"[38, 83, 126]","[39, 84, 126]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,2000,Fixed,True,500,3,8
51,time_series_strategy,cpd_prob_freq_delta3,"[38, 42, 81, 85, 126]","[39, 84, 126]",0.67,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,2000,Fixed,True,500,3,8
52,time_series_strategy,cramersv_frequency1,"[38, 83, 126]","[39, 84, 126]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,2000,Fixed,True,500,3,8
53,time_series_strategy,cramersv_frequency3,"[37, 41, 84, 126]","[39, 84, 126]",0.8,1.33,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,2000,Fixed,True,500,3,8
54,threshold_strategy,gtest_frequency1,"[21, 22, 37, 84, 126]","[39, 84, 126]",0.67,9.25,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,2000,Fixed,True,500,3,8
55,threshold_strategy,gtest_frequency3,"[37, 84, 126]","[39, 84, 126]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size1/ConditionalToSequence,0,Fixed,2000,Fixed,True,500,3,8
56,time_series_strategy,cpd_frequency_delta1,"[5, 38, 56, 85, 129]","[40, 86, 129]",0.67,13.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalToSequence\output\ConditionalToSequence_2.mxml.gz,Size1/ConditionalToSequence_2,2,Fixed,2000,Fixed,True,500,3,8
