,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
45,threshold_strategy,gtest_frequency3,"[7, 18, 24, 35, 42, 53, 59, 70, 77, 87]","[6, 17, 24, 34, 41, 52, 59, 69, 76, 87]",1.0,0.78,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,False,0,3,4
46,threshold_strategy,fixed_frequency_delta_percentage1,"[2, 4, 6, 19, 20, 21, 22, 23, 24, 37, 38, 58, 59, 73, 76, 87]","[6, 17, 24, 34, 41, 52, 59, 69, 76, 87]",0.58,1.8,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,False,0,3,4
47,threshold_strategy,fixed_frequency_delta_percentage3,"[73, 76, 87]","[6, 17, 24, 34, 41, 52, 59, 69, 76, 87]",0.18,1.5,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,False,0,3,4
48,time_series_strategy,cpd_frequency_delta1,"[10, 19, 29, 38, 48, 57, 67, 77, 86, 95]","[9, 19, 28, 38, 47, 57, 66, 76, 85, 95]",1.0,0.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,False,0,3,4
49,time_series_strategy,cpd_frequency_delta3,"[10, 20, 29, 39, 48, 58, 68, 78, 87, 95]","[9, 19, 28, 38, 47, 57, 66, 76, 85, 95]",1.0,1.33,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,False,0,3,4
50,time_series_strategy,cpd_prob_freq_delta1,"[10, 19, 29, 38, 48, 57, 67, 77, 86, 95]","[9, 19, 28, 38, 47, 57, 66, 76, 85, 95]",1.0,0.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,False,0,3,4
51,time_series_strategy,cpd_prob_freq_delta3,"[10, 20, 30, 39, 49, 58, 68, 78, 87, 95]","[9, 19, 28, 38, 47, 57, 66, 76, 85, 95]",1.0,1.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,False,0,3,4
52,threshold_strategy,gtest_frequency1,"[9, 19, 28, 38, 48, 58, 66, 77, 86, 95]","[9, 19, 28, 38, 47, 57, 66, 76, 85, 95]",1.0,0.44,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,False,0,3,4
53,threshold_strategy,gtest_frequency3,"[9, 19, 28, 38, 48, 58, 66, 77, 86, 95]","[9, 19, 28, 38, 47, 57, 66, 76, 85, 95]",1.0,0.44,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,False,0,3,4
54,threshold_strategy,fixed_frequency_delta_percentage1,"[1, 3, 4, 21, 22, 78, 79, 95]","[9, 19, 28, 38, 47, 57, 66, 76, 85, 95]",0.25,4.14,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cf\cf10k.mxml,cf,10000,Fixed,1000,Fixed,False,0,3,4
