,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
216,time_series_strategy,cpd_frequency_delta3,"[17, 39, 56]","[16, 39, 56]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\ORI\output\ORI.mxml.gz,Size3/ORI,0,Fixed,4000,Fixed,True,2000,3,6
217,time_series_strategy,cpd_frequency_delta3,"[17, 40, 57]","[16, 39, 57]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\ORI\output\ORI_2.mxml.gz,Size3/ORI_2,2,Fixed,4000,Fixed,True,2000,3,6
218,time_series_strategy,cpd_frequency_delta3,"[17, 41, 58]","[17, 40, 58]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\ORI\output\ORI_5.mxml.gz,Size3/ORI_5,5,Fixed,4000,Fixed,True,2000,3,6
219,time_series_strategy,cpd_frequency_delta3,"[19, 39, 57]","[18, 38, 57]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\RIO\output\RIO.mxml.gz,Size3/RIO,0,Fixed,4000,Fixed,True,2000,3,6
220,time_series_strategy,cpd_frequency_delta3,"[19, 40, 58]","[18, 39, 58]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\RIO\output\RIO_2.mxml.gz,Size3/RIO_2,2,Fixed,4000,Fixed,True,2000,3,6
221,time_series_strategy,cpd_frequency_delta3,"[19, 32, 41, 59]","[18, 40, 59]",0.8,3.33,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\RIO\output\RIO_5.mxml.gz,Size3/RIO_5,5,Fixed,4000,Fixed,True,2000,3,6
222,time_series_strategy,cpd_frequency_delta3,"[16, 31, 46]","[14, 30, 46]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\ROI\output\ROI.mxml.gz,Size3/ROI,0,Fixed,4000,Fixed,True,2000,3,6
223,time_series_strategy,cpd_frequency_delta3,"[16, 32, 47]","[15, 31, 47]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\ROI\output\ROI_2.mxml.gz,Size3/ROI_2,2,Fixed,4000,Fixed,True,2000,3,6
224,time_series_strategy,cpd_frequency_delta3,"[16, 33, 48]","[15, 31, 48]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\ROI\output\ROI_5.mxml.gz,Size3/ROI_5,5,Fixed,4000,Fixed,True,2000,3,6
225,time_series_strategy,cpd_frequency_delta3,"[18, 35, 53]","[17, 34, 53]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size4\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size4/ConditionalMove,0,Fixed,4000,Fixed,True,2000,3,6
226,time_series_strategy,cpd_frequency_delta3,"[18, 36, 54]","[17, 35, 54]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size4\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size4/ConditionalMove_2,2,Fixed,4000,Fixed,True,2000,3,6
227,time_series_strategy,cpd_frequency_delta3,"[18, 37, 55]","[18, 36, 55]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size4\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size4/ConditionalMove_5,5,Fixed,4000,Fixed,True,2000,3,6
228,time_series_strategy,cpd_frequency_delta3,"[14, 30, 43]","[13, 28, 43]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size4\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size4/ConditionalRemoval,0,Fixed,4000,Fixed,True,2000,3,6
229,time_series_strategy,cpd_frequency_delta3,"[14, 31, 44]","[14, 29, 44]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size4\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size4/ConditionalRemoval_2,2,Fixed,4000,Fixed,True,2000,3,6
230,time_series_strategy,cpd_frequency_delta3,"[14, 31, 45]","[14, 30, 45]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size4\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size4/ConditionalRemoval_5,5,Fixed,4000,Fixed,True,2000,3,6
231,time_series_strategy,cpd_frequency_delta3,"[16, 33, 48]","[15, 32, 48]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size4\Atomic\ConditionalToSequence\output\ConditionalToSequence.mxml.gz,Size4/ConditionalToSequence,0,Fixed,4000,Fixed,True,2000,3,6
